출발행정코드,출발도,출발시,출발동,출발 주소,도착행정코드,도착도,도착시,도착동,도착 주소,위도,경도
5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,,
5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,5013056000,제주특별자치도,서귀포시,영천동,제주특별자치도 서귀포시 영천동,,
5013056000,제주특별자치도,서귀포시,영천동,제주특별자치도 서귀포시 영천동,5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,,
5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,,
5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,1123060000,서울특별시,동대문구,답십리제1동,서울특별시 동대문구 답십리제1동,,
5011057000,제주특별자치도,제주시,용담1동,제주특별자치도 제주시 용담1동,5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,,
5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,5011057000,제주특별자치도,제주시,용담1동,제주특별자치도 제주시 용담1동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011053000,제주특별자치도,제주시,이도1동,제주특별자치도 제주시 이도1동,,
5011053000,제주특별자치도,제주시,이도1동,제주특별자치도 제주시 이도1동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011031000,제주특별자치도,제주시,한경면,제주특별자치도 제주시 한경면,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011031000,제주특별자치도,제주시,한경면,제주특별자치도 제주시 한경면,,
5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,,
5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,,
5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,,
5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,,
5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,,
5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,,
5013025300,제주특별자치도,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍,5013025300,제주특별자치도,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍,,
5013025300,제주특별자치도,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍,5013025300,제주특별자치도,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
